card_name,bank,annual_fee,min_income,min_credit_score,top_category,reward_rate_top_category,joining_bonus_value,lounge_access
Scapia Axis Bank Credit Card,Axis Bank,0.0,20000.0,680.0,travel,2.0,0,0
IndiGo Axis Bank Credit Card,Axis Bank,0.0,20000.0,680.0,travel,2.0,1200,0
Axis Bank Privilege Credit Card,Axis Bank,0.0,20000.0,680.0,food,1.0,12500,0
Axis Bank My Zone Easy Credit Card,Axis Bank,0.0,20000.0,680.0,general,2.0,0,0
Atlas Credit Card,Axis Bank,0.0,20000.0,680.0,travel,1.5,0,1
LIC Axis Bank Platinum Credit Card,Axis Bank,0.0,20000.0,680.0,fuel,2.0,0,0
Axis Bank Pride Platinum Credit Card,Axis Bank,250.0,30000.0,700.0,food,2.0,0,0
Axis Bank Pride Signature Credit Card,Axis Bank,500.0,30000.0,700.0,food,2.0,0,0
Flipkart Axis Bank Super Credit Card,Axis Bank,500.0,30000.0,700.0,shopping,12.0,500,0
Samsung Axis Bank Credit Card,Axis Bank,500.0,30000.0,700.0,shopping,10.0,0,0
Samsung Axis Bank Infinite Credit Card,Axis Bank,500.0,30000.0,700.0,shopping,10.0,2500,0
Axis Bank AURA Credit Card,Axis Bank,749.0,30000.0,700.0,shopping,1.0,750,0
SpiceJet Axis Bank Credit Card,Axis Bank,750.0,30000.0,700.0,travel,1.5,1500,1
Axis Bank My Zone Credit Card,Axis Bank,1000.0,50000.0,720.0,food,1.0,1499,1
IndianOil Axis Bank Premium Credit Card,Axis Bank,1000.0,50000.0,720.0,fuel,6.0,0,0
Axis Bank Vistara Credit Card,Axis Bank,1500.0,50000.0,720.0,travel,1.0,0,0
SpiceJet Axis Bank Voyage Credit Card,Axis Bank,2000.0,50000.0,720.0,travel,2.0,4000,0
Axis Bank Vistara Signature Credit Card,Axis Bank,3000.0,100000.0,750.0,travel,2.0,0,0
Axis Bank Miles & More Credit Card,Axis Bank,3500.0,100000.0,750.0,travel,5.0,0,1
IndiGo Axis Bank Credit Card XL,Axis Bank,5000.0,250000.0,780.0,travel,7.0,0,0
Axis Bank Magnus Credit Card,Axis Bank,12500.0,250000.0,780.0,travel,5.0,12500,1
Axis Bank Reserve Credit Card,Axis Bank,50000.0,1000000.0,800.0,travel,3.0,15000,1
PIXEL Play Credit Card,HDFC Bank,0.0,15000.0,650.0,shopping,5.0,0,0
PIXEL Go Credit Card,HDFC Bank,0.0,15000.0,650.0,shopping,1.0,0,0
Swiggy Ornge HDFC Bank Credit Card,HDFC Bank,0.0,15000.0,650.0,food,5.0,0,0
Paytm HDFC Bank Mobile Credit Card,HDFC Bank,0.0,15000.0,650.0,online,2.0,0,0
Paytm HDFC Bank Digital Credit Card,HDFC Bank,0.0,15000.0,650.0,online,2.0,0,0
PhonePe HDFC Bank Uno Credit Card,HDFC Bank,0.0,15000.0,650.0,online,2.0,0,0
Tata Neu Plus HDFC Bank Credit Card,HDFC Bank,499.0,25000.0,700.0,shopping,2.0,0,0
PhonePe HDFC Bank Ultimo Credit Card,HDFC Bank,499.0,25000.0,700.0,online,10.0,0,0
MoneyBack+ Credit Card,HDFC Bank,500.0,25000.0,700.0,shopping,2.5,500,0
IndianOil Credit Card,HDFC Bank,500.0,25000.0,700.0,fuel,5.0,0,0
Freedom Credit Card,HDFC Bank,500.0,25000.0,700.0,shopping,2.5,0,0
Swiggy HDFC Bank Credit Card,HDFC Bank,500.0,25000.0,700.0,food,10.0,0,0
IRCTC HDFC Bank Credit Card,HDFC Bank,500.0,25000.0,700.0,travel,5.0,500,1
Shoppers Stop Black HDFC Bank Credit Card,HDFC Bank,500.0,25000.0,700.0,shopping,7.0,1500,0
Shoppers Stop HDFC Bank Credit Card,HDFC Bank,500.0,25000.0,700.0,shopping,3.0,500,0
Paytm HDFC Bank Select Credit Card,HDFC Bank,500.0,25000.0,700.0,online,5.0,0,1
Paytm HDFC Bank Credit Card,HDFC Bank,500.0,25000.0,700.0,online,3.0,0,0
